bin,PTLOW,PTHIGH,NULOW,NUHIGH,Q2LOW,Q2HIGH,C,C error,Fe,Fe error,Pb,Pb Error
1,0.00,0.05,3.73,4.30,1.00,1.33,0.7073,0.08413,0.5544,0.0582,0.4584,0.03652
2,0.05,0.10,3.73,4.30,1.00,1.33,0.8307,0.02031,0.6113,0.01351,0.426,0.01254
3,0.10,0.15,3.73,4.30,1.00,1.33,0.9641,0.05621,0.5858,0.0327,0.4856,0.03405
4,0.15,0.20,3.73,4.30,1.00,1.33,0.8331,0.02878,0.6103,0.01953,0.4569,0.01832
5,0.20,0.25,3.73,4.30,1.00,1.33,0.881,0.02683,0.6069,0.01678,0.4734,0.01642
6,0.25,0.30,3.73,4.30,1.00,1.33,0.8587,0.02695,0.6395,0.01792,0.5202,0.01863
7,0.30,0.35,3.73,4.30,1.00,1.33,0.8383,0.02801,0.6439,0.01936,0.5214,0.02021
8,0.35,0.40,3.73,4.30,1.00,1.33,0.8433,0.03025,0.673,0.02184,0.4982,0.02076
9,0.40,0.45,3.73,4.30,1.00,1.33,0.9169,0.03718,0.7141,0.02555,0.5148,0.02394
10,0.45,0.50,3.73,4.30,1.00,1.33,0.86,0.03796,0.6934,0.02671,0.5481,0.02894
11,0.50,0.55,3.73,4.30,1.00,1.33,0.8602,0.0423,0.7229,0.03093,0.6024,0.03283
12,0.55,0.60,3.73,4.30,1.00,1.33,0.9132,0.04933,0.7433,0.03497,0.654,0.03849
13,0.60,0.65,3.73,4.30,1.00,1.33,0.9693,0.05804,0.7818,0.04047,0.6718,0.04329
14,0.65,0.70,3.73,4.30,1.00,1.33,0.9424,0.06457,0.8689,0.05068,0.6204,0.04607
15,0.70,0.75,3.73,4.30,1.00,1.33,1.003,0.07217,0.817,0.05256,0.7345,0.05858
16,0.75,0.80,3.73,4.30,1.00,1.33,1.009,0.08307,0.9705,0.06797,0.663,0.06007
17,0.80,0.85,3.73,4.30,1.00,1.33,1.279,0.1206,0.9767,0.07385,0.7794,0.07635
18,0.85,0.90,3.73,4.30,1.00,1.33,1.141,0.1168,0.9377,0.07969,0.8179,0.08991
19,0.90,0.95,3.73,4.30,1.00,1.33,1.416,0.1603,1.091,0.1008,1.002,0.1199
20,0.95,1.00,3.73,4.30,1.00,1.33,1.03,0.1343,1.071,0.115,0.9092,0.1229
21,1.00,1.20,3.73,4.30,1.00,1.33,1.321,0.1124,1.479,0.09955,1.298,0.1059
22,1.20,2.00,3.73,4.30,1.00,1.33,2.444,0.2589,3.103,0.2546,2.119,0.187