zlow,zup,bin,pTlow,pTup,C,Cstat,Csys,Fe,Festat,Fesys,Pb,Pbstat,Pbsys,QC,QFe,QPb,xC,xFe,xPb
0.3,0.4,1,0.047,0.073,0.805,0.02,0.028,0.597,0.015,0.021,0.458,0.007,0.016,1.64708,1.63886,1.63797,0.268019,0.267513,0.267369
0.3,0.4,2,0.073,0.112,0.78,0.013,0.027,0.628,0.01,0.022,0.468,0.004,0.016,1.6515,1.64681,1.6484,0.265753,0.265983,0.265956
0.3,0.4,3,0.112,0.173,0.816,0.009,0.029,0.627,0.007,0.022,0.485,0.003,0.017,1.63266,1.62745,1.62745,0.26079,0.26125,0.260456
0.3,0.4,4,0.173,0.267,0.82,0.007,0.029,0.654,0.006,0.023,0.515,0.003,0.018,1.63648,1.63063,1.62892,0.259501,0.26008,0.258849
0.3,0.4,5,0.267,0.411,0.829,0.007,0.029,0.692,0.006,0.024,0.548,0.003,0.019,1.63591,1.63031,1.62901,0.258791,0.259469,0.258425
0.3,0.4,6,0.411,0.633,0.954,0.009,0.043,0.863,0.008,0.039,0.715,0.004,0.032,1.6131,1.61364,1.61712,0.251398,0.253141,0.2517
0.3,0.4,7,0.633,0.974,1.464,0.024,0.066,1.656,0.024,0.075,1.458,0.012,0.066,1.59507,1.6038,1.5933,0.240831,0.245112,0.240625
0.3,0.4,8,0.974,1.5,3.19,0.175,0.16,4.74,0.226,0.237,4.695,0.114,0.235,1.62414,1.64294,1.66443,0.235325,0.240276,0.240422
0.4,0.5,1,0.047,0.073,0.793,0.037,0.028,0.557,0.025,0.019,0.452,0.013,0.016,1.64953,1.64294,1.6494,0.269331,0.268752,0.269676
0.4,0.5,2,0.073,0.112,0.748,0.022,0.026,0.583,0.018,0.02,0.408,0.007,0.014,1.63868,1.63193,1.63431,0.266918,0.266453,0.266422
0.4,0.5,3,0.112,0.173,0.793,0.017,0.028,0.581,0.012,0.02,0.45,0.006,0.016,1.65165,1.64569,1.64659,0.266635,0.266793,0.266574
0.4,0.5,4,0.173,0.267,0.772,0.012,0.027,0.595,0.009,0.021,0.446,0.004,0.016,1.64154,1.63418,1.63231,0.263336,0.263183,0.262118
0.4,0.5,5,0.267,0.411,0.788,0.01,0.028,0.612,0.008,0.021,0.49,0.004,0.017,1.64244,1.63569,1.63971,0.262123,0.262328,0.26204
0.4,0.5,6,0.411,0.633,0.848,0.011,0.038,0.699,0.009,0.031,0.545,0.004,0.025,1.63005,1.62661,1.62412,0.257686,0.258404,0.25708
0.4,0.5,7,0.633,0.974,1.132,0.021,0.051,1.122,0.019,0.051,0.941,0.009,0.042,1.60382,1.59774,1.59292,0.247109,0.248663,0.245345
0.4,0.5,8,0.974,1.5,2.262,0.107,0.113,2.893,0.113,0.145,2.808,0.061,0.14,1.59321,1.61136,1.61191,0.240968,0.247561,0.247223
0.5,0.6,1,0.047,0.073,0.797,0.067,0.028,0.636,0.052,0.022,0.398,0.019,0.014,1.67206,1.67934,1.68057,0.271978,0.273078,0.273379
0.5,0.6,2,0.073,0.112,0.704,0.036,0.025,0.544,0.028,0.019,0.387,0.012,0.014,1.64526,1.63932,1.63654,0.267962,0.267883,0.267299
0.5,0.6,3,0.112,0.173,0.744,0.026,0.026,0.524,0.018,0.018,0.421,0.009,0.015,1.64156,1.63517,1.63498,0.26654,0.266492,0.266129
0.5,0.6,4,0.173,0.267,0.779,0.019,0.027,0.553,0.014,0.019,0.429,0.006,0.015,1.65888,1.65251,1.65018,0.268224,0.26783,0.267493
0.5,0.6,5,0.267,0.411,0.754,0.015,0.026,0.574,0.011,0.02,0.439,0.005,0.015,1.64677,1.64007,1.64659,0.264879,0.265004,0.265762
0.5,0.6,6,0.411,0.633,0.815,0.016,0.037,0.672,0.012,0.03,0.511,0.006,0.023,1.64132,1.63418,1.63676,0.259902,0.260121,0.260224
0.5,0.6,7,0.633,0.974,1.023,0.026,0.046,0.919,0.021,0.041,0.781,0.011,0.035,1.61166,1.61393,1.6021,0.249409,0.25147,0.247732
0.5,0.6,8,0.974,1.5,1.981,0.102,0.099,2.183,0.099,0.109,1.832,0.047,0.092,1.59048,1.59922,1.57556,0.243224,0.246931,0.239396
0.6,0.7,1,0.047,0.073,0.707,0.096,0.025,0.535,0.074,0.019,0.373,0.033,0.013,1.69329,1.67683,1.68839,0.279286,0.277085,0.277912
0.6,0.7,2,0.073,0.112,0.708,0.054,0.025,0.463,0.033,0.016,0.35,0.016,0.012,1.66742,1.66484,1.65298,0.273656,0.274486,0.27229
0.6,0.7,3,0.112,0.173,0.69,0.035,0.024,0.474,0.023,0.017,0.372,0.012,0.013,1.6359,1.63297,1.63338,0.269973,0.27048,0.271151
0.6,0.7,4,0.173,0.267,0.764,0.028,0.027,0.524,0.019,0.018,0.408,0.009,0.014,1.64895,1.64506,1.64723,0.271777,0.271684,0.272242
0.6,0.7,5,0.267,0.411,0.715,0.022,0.025,0.595,0.017,0.021,0.449,0.008,0.016,1.66934,1.6581,1.66426,0.271985,0.271178,0.272016
0.6,0.7,6,0.411,0.633,0.822,0.023,0.037,0.629,0.017,0.028,0.521,0.009,0.023,1.63649,1.64086,1.63837,0.262763,0.264112,0.262932
0.6,0.7,7,0.633,0.974,0.963,0.033,0.043,0.881,0.028,0.04,0.688,0.014,0.031,1.6137,1.61425,1.61446,0.252284,0.254204,0.252525
0.6,0.7,8,0.974,1.5,1.864,0.129,0.093,2.068,0.125,0.103,1.926,0.067,0.096,1.58957,1.58683,1.56797,0.244394,0.245817,0.240124
0.7,0.8,1,0.047,0.073,0.532,0.134,0.019,0.454,0.106,0.016,0.281,0.043,0.01,1.66495,1.66228,1.66362,0.290863,0.291638,0.291419
0.7,0.8,2,0.073,0.112,0.529,0.053,0.019,0.398,0.04,0.014,0.314,0.021,0.011,1.65168,1.65115,1.6509,0.286064,0.286291,0.286415
0.7,0.8,3,0.112,0.173,0.593,0.038,0.021,0.435,0.028,0.015,0.312,0.013,0.011,1.62326,1.6185,1.62158,0.280047,0.27989,0.280156
0.7,0.8,4,0.173,0.267,0.631,0.033,0.022,0.514,0.026,0.018,0.357,0.012,0.013,1.60513,1.60025,1.60206,0.275306,0.27451,0.274689
0.7,0.8,5,0.267,0.411,0.791,0.037,0.028,0.592,0.026,0.021,0.417,0.012,0.015,1.63305,1.61573,1.61312,0.275621,0.273363,0.271968
0.7,0.8,6,0.411,0.633,0.783,0.034,0.035,0.674,0.027,0.03,0.462,0.013,0.021,1.62849,1.62712,1.6258,0.273612,0.273931,0.273529
0.7,0.8,7,0.633,0.974,1.233,0.072,0.056,0.978,0.051,0.044,0.911,0.029,0.041,1.571,1.5693,1.56146,0.255165,0.255375,0.252975
0.7,0.8,8,0.974,1.5,2.305,0.259,0.115,2.781,0.281,0.139,2.377,0.129,0.119,1.56305,1.56563,1.53477,0.246807,0.250978,0.243295